prompt,classes,answer_index
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
conciliatory and unconciliatory are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
half niece and half nephew are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
monospace and proportional are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
distinguishable and mistakable are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
irresponsibly and responsibly are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
nonvolatile and volatile are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
cyberoptimism and cyberpessimism are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
lyophile and lyophobic are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
hiv positive and hiv negative are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
"detectable and undetectable are synonym or antonym?
Answer: antonym
joy and sorrow are synonym or antonym?
Answer: antonym
extrinsic and intrinsic are antonym or synonym?
Answer: antonym
know and clueless are antonym or synonym?
Answer: antonym
pivotal and critical are synonym or antonym?
Answer: synonym
uncertainty and doubt are synonym or antonym?
Answer: synonym
senior citizen and older adult are synonym or antonym?
Answer: synonym
adhesion and adhesiveness are synonym or antonym?
Answer: synonym
low resolution and high resolution are antonym or synonym?
Answer:","[' antonym', ' synonym']",0
