prompt,opposite_sent,completion
 Replace the [MASK] with the correct word: Air doesn't have [MASK]. [MASK] is,Air has [MASK].,['molecules']
 Replace the [MASK] with the correct word: Rebel armies sometimes don't use children as [MASK]. [MASK] is,Rebel armies sometimes use children as [MASK].,['soldiers']
 Replace the [MASK] with the correct word: Atom doesn't have neurons [MASK]. [MASK] is,Atom has neurons [MASK].,"['protons', 'neutrons', 'nucleus', 'electrons']"
 Replace the [MASK] with the correct word: Bread isn't from [MASK]. [MASK] is,Bread is from [MASK].,"['dough', 'wheat']"
 Replace the [MASK] with the correct word: Button isn't a type of small [MASK]. [MASK] is,Button is a type of small [MASK].,['plastic']
 Replace the [MASK] with the correct word: Continents usually don't contain [MASK]. [MASK] is,Continents usually contain [MASK].,['countries']
 Replace the [MASK] with the correct word: Gesture isn't a type of hand [MASK]. [MASK] is,Gesture is a type of hand [MASK].,['movement']
 Replace the [MASK] with the correct word: Glass isn't a type of [MASK]. [MASK] is,Glass is a type of [MASK].,"['silica', 'sand']"
 Replace the [MASK] with the correct word: Goblet doesn't have fancy [MASK]. [MASK] is,Goblet has fancy [MASK].,['glass']
 Replace the [MASK] with the correct word: Heroin isn't [MASK]. [MASK] is,Heroin is [MASK].,"['opium', 'Diamorphine']"
 Replace the [MASK] with the correct word: Idolatry isn't a kind of [MASK]. [MASK] is,Idolatry is a kind of [MASK].,['obsession']
 Replace the [MASK] with the correct word: Lock isn't [MASK]. [MASK] is,Lock is [MASK].,['metal']
 Replace the [MASK] with the correct word: Mankind isn't a kind of [MASK]. [MASK] is,Mankind is a kind of [MASK].,['humanity']
 Replace the [MASK] with the correct word: Mountain isn't a type of [MASK]. [MASK] is,Mountain is a type of [MASK].,['land']
 Replace the [MASK] with the correct word: Paper isn't typically in [MASK]. [MASK] is,Paper is typically in [MASK].,"['wood', 'trees', 'cellulose']"
 Replace the [MASK] with the correct word: A person doesn't want clean [MASK]. [MASK] is,A person wants clean [MASK].,['water']
 Replace the [MASK] with the correct word: Table isn't a type of [MASK]. [MASK] is,Table is a type of [MASK].,"['wood', 'stone']"
 Replace the [MASK] with the correct word: Grape isn't a type of wine [MASK]. [MASK] is,Grape is a type of wine [MASK].,['fruit']
 Replace the [MASK] with the correct word: Some buildiings aren't [MASK]. [MASK] is,Some buildiings are [MASK].,['factories']
 Replace the [MASK] with the correct word: Computers aren't [MASK]. [MASK] is,Computers are [MASK].,"['toolds', 'manmade']"
 Replace the [MASK] with the correct word: Truth isn't a [MASK]. [MASK] is,Truth is a [MASK].,"['concept', 'statement', 'fact', 'actuality']"
 Replace the [MASK] with the correct word: A hacksaw isn't a type of [MASK]. [MASK] is,A hacksaw is a type of [MASK].,"['saw', 'tool']"
 Replace the [MASK] with the correct word: Corporation isn't a type of business [MASK]. [MASK] is,Corporation is a type of business [MASK].,"['organization', 'firm']"
 Replace the [MASK] with the correct word: Butane isn't a kind of [MASK]. [MASK] is,Butane is a kind of [MASK].,"['gas', 'alkane', 'fuel']"
 Replace the [MASK] with the correct word: A housefly isn't a [MASK]. [MASK] is,A housefly is a [MASK].,"['fly', 'insect', 'blackness']"
 Replace the [MASK] with the correct word: IBM isn't a type of [MASK]. [MASK] is,IBM is a type of [MASK].,"['company', 'computer']"
 Replace the [MASK] with the correct word: Humans aren't [MASK]. [MASK] is,Humans are [MASK].,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
 Replace the [MASK] with the correct word: Time isn't a type of [MASK]. [MASK] is,Time is a type of [MASK].,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 Replace the [MASK] with the correct word: Ginseng isn't a [MASK]. [MASK] is,Ginseng is a [MASK].,"['herb', 'root']"
 Replace the [MASK] with the correct word: Moldavia isn't a kind of [MASK]. [MASK] is,Moldavia is a kind of [MASK].,['country']
 Replace the [MASK] with the correct word: Rhododendron isn't a [MASK]. [MASK] is,Rhododendron is a [MASK].,"['plant', 'shrub']"
 Replace the [MASK] with the correct word: A recorder isn't a [MASK]. [MASK] is,A recorder is a [MASK].,"['equipment', 'judge']"
 Replace the [MASK] with the correct word: Pressure isn't a kind of [MASK]. [MASK] is,Pressure is a kind of [MASK].,"['force', 'somesthesia', 'sensation', 'distress']"
 Replace the [MASK] with the correct word: Some flowers aren't [MASK]. [MASK] is,Some flowers are [MASK].,"['perennials', 'traditionally', 'domesticated', 'annuals', 'magazine']"
 Replace the [MASK] with the correct word: Ostriches aren't [MASK]. [MASK] is,Ostriches are [MASK].,"['birds', 'animals']"
 Replace the [MASK] with the correct word: Pepper isn't a type of [MASK]. [MASK] is,Pepper is a type of [MASK].,"['season', 'flavorer', 'spice', 'condiment', 'vegetable', 'spicey', 'fruit']"
 Replace the [MASK] with the correct word: A ship isn't an [MASK]. [MASK] is,A ship is an [MASK].,"['watercraft', 'vessel', 'boat']"
 Replace the [MASK] with the correct word: A wheel isn't a [MASK]. [MASK] is,A wheel is a [MASK].,"['part', 'machine', 'force', 'bicycle', 'helm']"
 Replace the [MASK] with the correct word: Ω isn't a kind of [MASK]. [MASK] is,Ω is a kind of [MASK].,"['infinity', 'ordinal']"
 Replace the [MASK] with the correct word: An actress isn't a kind of [MASK]. [MASK] is,An actress is a kind of [MASK].,"['person', 'actor']"
 Replace the [MASK] with the correct word: A peregrine isn't a type of [MASK]. [MASK] is,A peregrine is a type of [MASK].,['falcon']
 Replace the [MASK] with the correct word: A shoelace isn't a kind of [MASK]. [MASK] is,A shoelace is a kind of [MASK].,"['lace', 'footwear', 'fastener', 'object']"
 Replace the [MASK] with the correct word: Some religions aren't [MASK]. [MASK] is,Some religions are [MASK].,['monotheistic']
 Replace the [MASK] with the correct word: Hemoglobin isn't a [MASK]. [MASK] is,Hemoglobin is a [MASK].,['hemoprotein']
 Replace the [MASK] with the correct word: Polyethylene isn't a [MASK]. [MASK] is,Polyethylene is a [MASK].,"['alkane', 'solid']"
 Replace the [MASK] with the correct word: Door isn't a type of [MASK]. [MASK] is,Door is a type of [MASK].,"['entree', 'room', 'structure']"
 Replace the [MASK] with the correct word: Motorola isn't a [MASK]. [MASK] is,Motorola is a [MASK].,['company']
 Replace the [MASK] with the correct word: Saucers aren't [MASK]. [MASK] is,Saucers are [MASK].,['discs']
 Replace the [MASK] with the correct word: The Pope isn't a kind of a [MASK]. [MASK] is,The Pope is a kind of a [MASK].,"['falliable', 'village', 'priest', 'bishop']"
 Replace the [MASK] with the correct word: MIT isn't a kind of [MASK]. [MASK] is,MIT is a kind of [MASK].,['station']
 Replace the [MASK] with the correct word: Textiles aren't [MASK]. [MASK] is,Textiles are [MASK].,"['cloths', 'commodities']"
 Replace the [MASK] with the correct word: Cannon isn't a type of [MASK]. [MASK] is,Cannon is a type of [MASK].,"['artillery', 'gun']"
 Replace the [MASK] with the correct word: Castle isn't a type of [MASK]. [MASK] is,Castle is a type of [MASK].,"['fortification', 'book', 'home', 'piece', 'chessman']"
 Replace the [MASK] with the correct word: An illegal alien isn't a kind of [MASK]. [MASK] is,An illegal alien is a kind of [MASK].,"['software', 'person', 'being']"
 Replace the [MASK] with the correct word: Novel isn't a type of [MASK]. [MASK] is,Novel is a type of [MASK].,"['story', 'fiction', 'book']"
