prompt,classes,answer_index
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""Some people have not had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""Some people have had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""Every person has had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""Not every person has had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""All people have not had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""All people have had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""Not all people have had the opportunities you have not had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not all people have had the opportunities you have had.
Can we infer that ""No one has had the opportunities you have had.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose I saw nothing at all.
Can we infer that ""I didn't see anything at all.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose I saw nothing at all.
Can we infer that ""I saw something.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose I saw nothing at all.
Can we infer that ""I did not see something.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""We do not see her lose her cool like that often.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""She does not lose her cool like that often.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""We see her lose her cool like that often.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""Sometimes we see her lose her cool like that.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""Sometimes we do not see her lose her cool like that.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""We do not see her often.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not often do we see her lose her cool like that.
Can we infer that ""We do not see her lose her cool like him often.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Some people supported the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Some people did not support the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Everyone supported the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Everyone did not support the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""No one supported the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""No one did not support the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""One person did not support the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""One person supported the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Two people did not support the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Two people supported the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Twenty people did not support the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not one person supported the proposal.
Can we infer that ""Twenty people supported the proposal.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found more than one mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found more than one mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found less than one mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found two mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found two mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found twenty mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found twenty mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found some mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found not all mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found all mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found even one mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found not every mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had found every mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found only one mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found any mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose They had found not one mistake.
Can we infer that ""They had not found some mistakes.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""Three of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""Three of them did not make the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""More than three of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""More than two of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""More than one of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""More than three of them did not make the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""More than two of them did not make the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""More than one of them did not make the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",2
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""Less than three of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""Less than two of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",1
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""Less than four of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""One of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
"The question requires reasoning about negation. 
Suppose Not one, not two, but three of them made the mistake.
Can we infer that ""Two of them made the mistake.""?
OPTIONS
- Yes
- No
- Maybe
Answer:","[' Yes',' No',' Maybe']",0
