prompt,classes,answer_index
"The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Question: Everyone who works in law must work together. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The second thing I learned is the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Question: Everyone who works in law must not work together. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Question: Everyone who works in law must not work together. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The United States does not fall somewhere between these extremes.
Question: The United States conforms to only one of these extremes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The United States falls somewhere between these extremes.
Question: The United States does not conform to only one of these extremes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The United States does not fall somewhere between these extremes.
Question: The United States does not conform to only one of these extremes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Question: Subia was Bush's first nominee to the Board of Directors. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"Subia was nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Question: Subia was not Bush's first nominee to the Board of Directors. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Question: Subia was not Bush's first nominee to the Board of Directors. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"His knees were not bent.
Question: He bent his legs. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"His knees were bent.
Question: He did not bend his legs. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"His knees were not bent.
Question: He did not bend his legs. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Question: Their cumulative and long term effects are predictable and likely insubstantial. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may be substantial.
Question: Their cumulative and long term effects are not predictable and likely insubstantial. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Question: Their cumulative and long term effects are not predictable and likely insubstantial. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"And if things go well, you were not behind the commander in chief all the way.
Question: If things go well, you support the President. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"And if things go well, you were behind the commander in chief all the way.
Question: If things go well, you do not support the President. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"And if things go well, you were not behind the commander in chief all the way.
Question: If things go well, you do not support the President. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
