prompt,opposite_sent,completion
Air doesn't have <extra_id_0>,Air has <extra_id_0>,['molecules']
Rebel armies sometimes don't use children as <extra_id_0>,Rebel armies sometimes use children as <extra_id_0>,['soldiers']
Atom doesn't have neurons <extra_id_0>,Atom has neurons <extra_id_0>,"['protons', 'neutrons', 'nucleus', 'electrons']"
Bread isn't from <extra_id_0>,Bread is from <extra_id_0>,"['dough', 'wheat']"
Button isn't a type of small <extra_id_0>,Button is a type of small <extra_id_0>,['plastic']
Continents usually don't contain <extra_id_0>,Continents usually contain <extra_id_0>,['countries']
Gesture isn't a type of hand <extra_id_0>,Gesture is a type of hand <extra_id_0>,['movement']
Glass isn't a type of <extra_id_0>,Glass is a type of <extra_id_0>,"['silica', 'sand']"
Goblet doesn't have fancy <extra_id_0>,Goblet has fancy <extra_id_0>,['glass']
Heroin isn't <extra_id_0>,Heroin is <extra_id_0>,"['opium', 'Diamorphine']"
Idolatry isn't a kind of <extra_id_0>,Idolatry is a kind of <extra_id_0>,['obsession']
Lock isn't <extra_id_0>,Lock is <extra_id_0>,['metal']
Mankind isn't a kind of <extra_id_0>,Mankind is a kind of <extra_id_0>,['humanity']
Mountain isn't a type of <extra_id_0>,Mountain is a type of <extra_id_0>,['land']
Paper isn't typically in <extra_id_0>,Paper is typically in <extra_id_0>,"['wood', 'trees', 'cellulose']"
A person doesn't want clean <extra_id_0>,A person wants clean <extra_id_0>,['water']
Table isn't a type of <extra_id_0>,Table is a type of <extra_id_0>,"['wood', 'stone']"
Grape isn't a type of wine <extra_id_0>,Grape is a type of wine <extra_id_0>,['fruit']
Some buildiings aren't <extra_id_0>,Some buildiings are <extra_id_0>,['factories']
Computers aren't <extra_id_0>,Computers are <extra_id_0>,"['toolds', 'manmade']"
Truth isn't a <extra_id_0>,Truth is a <extra_id_0>,"['concept', 'statement', 'fact', 'actuality']"
A hacksaw isn't a type of <extra_id_0>,A hacksaw is a type of <extra_id_0>,"['saw', 'tool']"
Corporation isn't a type of business <extra_id_0>,Corporation is a type of business <extra_id_0>,"['organization', 'firm']"
Butane isn't a kind of <extra_id_0>,Butane is a kind of <extra_id_0>,"['gas', 'alkane', 'fuel']"
A housefly isn't a <extra_id_0>,A housefly is a <extra_id_0>,"['fly', 'insect', 'blackness']"
IBM isn't a type of <extra_id_0>,IBM is a type of <extra_id_0>,"['company', 'computer']"
Humans aren't <extra_id_0>,Humans are <extra_id_0>,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
Time isn't a type of <extra_id_0>,Time is a type of <extra_id_0>,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
Ginseng isn't a <extra_id_0>,Ginseng is a <extra_id_0>,"['herb', 'root']"
Moldavia isn't a kind of <extra_id_0>,Moldavia is a kind of <extra_id_0>,['country']
Rhododendron isn't a <extra_id_0>,Rhododendron is a <extra_id_0>,"['plant', 'shrub']"
A recorder isn't a <extra_id_0>,A recorder is a <extra_id_0>,"['equipment', 'judge']"
Pressure isn't a kind of <extra_id_0>,Pressure is a kind of <extra_id_0>,"['force', 'somesthesia', 'sensation', 'distress']"
Some flowers aren't <extra_id_0>,Some flowers are <extra_id_0>,"['perennials', 'traditionally', 'domesticated', 'annuals', 'magazine']"
Ostriches aren't <extra_id_0>,Ostriches are <extra_id_0>,"['birds', 'animals']"
Pepper isn't a type of <extra_id_0>,Pepper is a type of <extra_id_0>,"['season', 'flavorer', 'spice', 'condiment', 'vegetable', 'spicey', 'fruit']"
A ship isn't an <extra_id_0>,A ship is an <extra_id_0>,"['watercraft', 'vessel', 'boat']"
A wheel isn't a <extra_id_0>,A wheel is a <extra_id_0>,"['part', 'machine', 'force', 'bicycle', 'helm']"
Ω isn't a kind of <extra_id_0>,Ω is a kind of <extra_id_0>,"['infinity', 'ordinal']"
An actress isn't a kind of <extra_id_0>,An actress is a kind of <extra_id_0>,"['person', 'actor']"
A peregrine isn't a type of <extra_id_0>,A peregrine is a type of <extra_id_0>,['falcon']
A shoelace isn't a kind of <extra_id_0>,A shoelace is a kind of <extra_id_0>,"['lace', 'footwear', 'fastener', 'object']"
Some religions aren't <extra_id_0>,Some religions are <extra_id_0>,['monotheistic']
Hemoglobin isn't a <extra_id_0>,Hemoglobin is a <extra_id_0>,['hemoprotein']
Polyethylene isn't a <extra_id_0>,Polyethylene is a <extra_id_0>,"['alkane', 'solid']"
Door isn't a type of <extra_id_0>,Door is a type of <extra_id_0>,"['entree', 'room', 'structure']"
Motorola isn't a <extra_id_0>,Motorola is a <extra_id_0>,['company']
Saucers aren't <extra_id_0>,Saucers are <extra_id_0>,['discs']
The Pope isn't a kind of a <extra_id_0>,The Pope is a kind of a <extra_id_0>,"['falliable', 'village', 'priest', 'bishop']"
MIT isn't a kind of <extra_id_0>,MIT is a kind of <extra_id_0>,['station']
Textiles aren't <extra_id_0>,Textiles are <extra_id_0>,"['cloths', 'commodities']"
Cannon isn't a type of <extra_id_0>,Cannon is a type of <extra_id_0>,"['artillery', 'gun']"
Castle isn't a type of <extra_id_0>,Castle is a type of <extra_id_0>,"['fortification', 'book', 'home', 'piece', 'chessman']"
An illegal alien isn't a kind of <extra_id_0>,An illegal alien is a kind of <extra_id_0>,"['software', 'person', 'being']"
Novel isn't a type of <extra_id_0>,Novel is a type of <extra_id_0>,"['story', 'fiction', 'book']"
Topology isn't a kind of <extra_id_0>,Topology is a kind of <extra_id_0>,"['configuration', 'math', 'topography']"
Bulbul isn't a <extra_id_0>,Bulbul is a <extra_id_0>,"['nightingale', 'bird']"
Similarity between a display cabinet and a stool: both aren't items of <extra_id_0>,Similarity between a display cabinet and a stool: both are items of <extra_id_0>,"['box', 'compartment', 'furniture', 'housing']"
Pepsi isn't a <extra_id_0>,Pepsi is a <extra_id_0>,"['beverage', 'cola']"
The world isn't <extra_id_0>,The world is <extra_id_0>,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
Turpentine isn't <extra_id_0>,Turpentine is <extra_id_0>,"['flamable', 'oleoresin']"
Acting isn't an <extra_id_0>,Acting is an <extra_id_0>,"['activity', 'communicating', 'pretending']"
Passwords aren't <extra_id_0>,Passwords are <extra_id_0>,['secrets']
Language isn't communication <extra_id_0>,Language is communication <extra_id_0>,"['medium', 'communication', 'faculty']"
Procrastination isn't a type of <extra_id_0>,Procrastination is a type of <extra_id_0>,"['behaviour', 'delay']"
Bush isn't american <extra_id_0>,Bush is american <extra_id_0>,['wilderness']
Agate isn't a precious <extra_id_0>,Agate is a precious <extra_id_0>,"['chalcedony', 'mineral', 'gemstone']"
A bomber isn't a type of <extra_id_0>,A bomber is a type of <extra_id_0>,"['aeroplane', 'criminal', 'person', 'warplane', 'sandwich', 'airplane']"
LINUX isn't <extra_id_0>,LINUX is <extra_id_0>,"['free', 'software', 'well', 'stable']"
Ministers aren't <extra_id_0>,Ministers are <extra_id_0>,['politicians']
A catalog isn't a kind of <extra_id_0>,A catalog is a kind of <extra_id_0>,"['list', 'book']"
Fire isn't a type of old <extra_id_0>,Fire is a type of old <extra_id_0>,"['software', 'happening', 'fireplace', 'element', 'book', 'fire', 'criticism', 'combustion', 'burning', 'fuel', 'scrub', 'trial', 'attack']"
A parallelogram isn't a type of geometric <extra_id_0>,A parallelogram is a type of geometric <extra_id_0>,['quadrilateral']
Memories aren't <extra_id_0>,Memories are <extra_id_0>,['information']
A telemarketer isn't a <extra_id_0>,A telemarketer is a <extra_id_0>,['worker']
Salt isn't a type of <extra_id_0>,Salt is a type of <extra_id_0>,"['season', 'taste', 'flavorer', 'crystal', 'compound', 'white-colored']"
Anteaters aren't <extra_id_0>,Anteaters are <extra_id_0>,['mammals']
Genocide isn't a type of <extra_id_0>,Genocide is a type of <extra_id_0>,"['issue', 'democide', 'killing', 'crime']"
Fluorine isn't a <extra_id_0>,Fluorine is a <extra_id_0>,"['gas', 'halogen']"
Alabaster isn't a <extra_id_0>,Alabaster is a <extra_id_0>,"['gypsum', 'mineral', 'calcite', 'white']"
A beluga isn't a type of <extra_id_0>,A beluga is a type of <extra_id_0>,"['sturgeon', 'fish', 'whale']"
Yacht isn't a type of fancy <extra_id_0>,Yacht is a type of fancy <extra_id_0>,"['ship', 'sailboat', 'vessel', 'boat']"
Sinkholes aren't <extra_id_0>,Sinkholes are <extra_id_0>,['caverns']
Lizards aren't small <extra_id_0>,Lizards are small <extra_id_0>,"['scaly', 'animals']"
Laser isn't a type of <extra_id_0>,Laser is a type of <extra_id_0>,['light']
Holmstrup arborvitae isn't a <extra_id_0>,Holmstrup arborvitae is a <extra_id_0>,['conifer']
Jogging isn't a <extra_id_0>,Jogging is a <extra_id_0>,"['exercise', 'exercising']"
A brickmason isn't a type of <extra_id_0>,A brickmason is a type of <extra_id_0>,['tradesman']
A sweater isn't something you <extra_id_0>,A sweater is something you <extra_id_0>,"['top', 'garment']"
Lilacs aren't <extra_id_0>,Lilacs are <extra_id_0>,['plants']
Pigs aren't <extra_id_0>,Pigs are <extra_id_0>,"['omnivorous', 'mammals', 'song']"
