prompt,classes,answer_index
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Hypothesis: Everyone who works in law must work together.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The second thing I learned is the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Hypothesis: Everyone who works in law must not work together.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Hypothesis: Everyone who works in law must not work together.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The United States does not fall somewhere between these extremes.
Hypothesis: The United States conforms to only one of these extremes.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The United States falls somewhere between these extremes.
Hypothesis: The United States does not conform to only one of these extremes.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The United States does not fall somewhere between these extremes.
Hypothesis: The United States does not conform to only one of these extremes.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Hypothesis: Subia was Bush's first nominee to the Board of Directors.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Subia was nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Hypothesis: Subia was not Bush's first nominee to the Board of Directors.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Hypothesis: Subia was not Bush's first nominee to the Board of Directors.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: His knees were not bent.
Hypothesis: He bent his legs.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: His knees were bent.
Hypothesis: He did not bend his legs.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: His knees were not bent.
Hypothesis: He did not bend his legs.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Hypothesis: Their cumulative and long term effects are predictable and likely insubstantial.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may be substantial.
Hypothesis: Their cumulative and long term effects are not predictable and likely insubstantial.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Hypothesis: Their cumulative and long term effects are not predictable and likely insubstantial.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: And if things go well, you were not behind the commander in chief all the way.
Hypothesis: If things go well, you support the President.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: And if things go well, you were behind the commander in chief all the way.
Hypothesis: If things go well, you do not support the President.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: And if things go well, you were not behind the commander in chief all the way.
Hypothesis: If things go well, you do not support the President.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Vrenna did not continue her dance, kicking one man in the chest and cleaving into the flank of another.
Hypothesis: Vrenna kicked a small child in the chest as she danced.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Vrenna continued her dance, kicking one man in the chest and cleaving into the flank of another.
Hypothesis: Vrenna did not kick a small child in the chest as she danced.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Vrenna did not continue her dance, kicking one man in the chest and cleaving into the flank of another.
Hypothesis: Vrenna did not kick a small child in the chest as she danced.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: T. Temple Tuttle, an ethnomusicologist at Cleveland State University, does not feel the holes conform to a number of scales, including the South Indian system.
Hypothesis: In the South Indian system, holes are unrelated to scales.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: T. Temple Tuttle, an ethnomusicologist at Cleveland State University, feels the holes conform to a number of scales, including the South Indian system.
Hypothesis: In the South Indian system, holes are not unrelated to scales.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: T. Temple Tuttle, an ethnomusicologist at Cleveland State University, does not feel the holes conform to a number of scales, including the South Indian system.
Hypothesis: In the South Indian system, holes are not unrelated to scales.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: This growing number of titles does not leave publishing houses with less time and attention to edit and market books.
Hypothesis: Publishing houses can give less attention to editing books.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: This growing number of titles leaves publishing houses with less time and attention to edit and market books.
Hypothesis: Publishing houses cannot give less attention to editing books.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: This growing number of titles does not leave publishing houses with less time and attention to edit and market books.
Hypothesis: Publishing houses cannot give less attention to editing books.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The Commentariat Would not Like a Nonsmoking Table,  Most polls agree that a quarter of the American adult population smokes regularly.
Hypothesis: The commentariat requests for a smoking table.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The Commentariat Would Like a Nonsmoking Table,  Most polls agree that a quarter of the American adult population smokes regularly.
Hypothesis: The commentariat does not request for a smoking table.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The Commentariat Would not Like a Nonsmoking Table,  Most polls agree that a quarter of the American adult population smokes regularly.
Hypothesis: The commentariat does not request for a smoking table.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Barry McCaffrey, has not made it clear he regards the two laws as the work of deceptive and mischievous drug legalizers who have snookered a lot of otherwise right-thinking people.
Hypothesis: Barry McCaffrey wants to legalize drugs.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Barry McCaffrey, has made it clear he regards the two laws as the work of deceptive and mischievous drug legalizers who have snookered a lot of otherwise right-thinking people.
Hypothesis: Barry McCaffrey does not want to legalize drugs.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Barry McCaffrey, has not made it clear he regards the two laws as the work of deceptive and mischievous drug legalizers who have snookered a lot of otherwise right-thinking people.
Hypothesis: Barry McCaffrey does not want to legalize drugs.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: It was not thin and sharp with a wire-wrapped hilt and a weighted spike on the tip of the hilt.
Hypothesis: It was deadly.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: It was thin and sharp with a wire-wrapped hilt and a weighted spike on the tip of the hilt.
Hypothesis: It was not deadly.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: It was not thin and sharp with a wire-wrapped hilt and a weighted spike on the tip of the hilt.
Hypothesis: It was not deadly.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Already recognized as a federal nonprofit, the agency is not awaiting state status that would allow it to survive on charitable donations.
Hypothesis: They would still seek other sources of funding.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Already recognized as a federal nonprofit, the agency is awaiting state status that would allow it to survive on charitable donations.
Hypothesis: They would not still seek other sources of funding.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Already recognized as a federal nonprofit, the agency is not awaiting state status that would allow it to survive on charitable donations.
Hypothesis: They would not still seek other sources of funding.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: That boy does not need an editor.
Hypothesis: That boy needs his work to be edited, said his teacher.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: That boy needs an editor.
Hypothesis: That boy does not need his work to be edited, said his teacher.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: That boy does not need an editor.
Hypothesis: That boy does not need his work to be edited, said his teacher.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: He was not naked, old, and small.
Hypothesis: He was a small, naked, old man.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: He was naked, old, and small.
Hypothesis: He was not a small, naked, old man.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: He was not naked, old, and small.
Hypothesis: He was not a small, naked, old man.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: For example, I could not appoint a deputy with the approval of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees.
Hypothesis: It is a better use of everyone's time only to bother three panel members in hiring a deputy.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: For example, I could appoint a deputy with the approval of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees.
Hypothesis: It is not a better use of everyone's time only to bother three panel members in hiring a deputy.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: For example, I could not appoint a deputy with the approval of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees.
Hypothesis: It is not a better use of everyone's time only to bother three panel members in hiring a deputy.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: One week, you're not the only one he can turn to when Newt shuts down the government; the next, you're bucking him up for Saddam.
Hypothesis: There is a week in which you are the only person he can turn to when the government is shut down.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: One week, you're the only one he can turn to when Newt shuts down the government; the next, you're bucking him up for Saddam.
Hypothesis: There is not a week in which you are the only person he can turn to when the government is shut down.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: One week, you're not the only one he can turn to when Newt shuts down the government; the next, you're bucking him up for Saddam.
Hypothesis: There is not a week in which you are the only person he can turn to when the government is shut down.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: They had to not be willing to work with business managers to enable rather than to control business operations.
Hypothesis: They had to be eager to work together with business managers to control business operations instead of enabling them.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: They had to be willing to work with business managers to enable rather than to control business operations.
Hypothesis: They had to not be eager to work together with business managers to control business operations instead of enabling them.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: They had to not be willing to work with business managers to enable rather than to control business operations.
Hypothesis: They had to not be eager to work together with business managers to control business operations instead of enabling them.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The ossified state of European telecom monopolies would not stun American Webheads.
Hypothesis: American Webheads would be stunned by European telecom monopolies.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The ossified state of European telecom monopolies would stun American Webheads.
Hypothesis: American Webheads would not be stunned by European telecom monopolies.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The ossified state of European telecom monopolies would not stun American Webheads.
Hypothesis: American Webheads would not be stunned by European telecom monopolies.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: However, he did not tend to drink a bit too much.'
Hypothesis: He drank a bit too much sometimes.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: However, he did tend to drink a bit too much.'
Hypothesis: He did not drink a bit too much sometimes.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: However, he did not tend to drink a bit too much.'
Hypothesis: He did not drink a bit too much sometimes.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Bush does not play up his born-again faith to the religious right.
Hypothesis: Bush caters to the religious right with his faith.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Bush plays up his born-again faith to the religious right.
Hypothesis: Bush does not cater to the religious right with his faith.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Bush does not play up his born-again faith to the religious right.
Hypothesis: Bush does not cater to the religious right with his faith.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Finally, he did not pour a few drops of the coco into a test tube, sealing it up carefully.
Hypothesis: He put drops in a test tube and sealed it.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Finally, he poured a few drops of the coco into a test tube, sealing it up carefully.
Hypothesis: He did not put drops in a test tube and sealed it.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Finally, he did not pour a few drops of the coco into a test tube, sealing it up carefully.
Hypothesis: He did not put drops in a test tube and sealed it.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Much that was not said about Japanese management style in the 1980s--with its supposed Zen focus and greater sense of process than outcome--was pure buncombe.
Hypothesis: The information about Japaneese management in the 1990s was correct.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Much that was said about Japanese management style in the 1980s--with its supposed Zen focus and greater sense of process than outcome--was pure buncombe.
Hypothesis: The information about Japaneese management in the 1990s was not correct.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Much that was not said about Japanese management style in the 1980s--with its supposed Zen focus and greater sense of process than outcome--was pure buncombe.
Hypothesis: The information about Japaneese management in the 1990s was not correct.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: She has not been leaning on the Met to find a more intimate venue for her projects.
Hypothesis: She is looking at the largest stadiums available for her shows.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: She has been leaning on the Met to find a more intimate venue for her projects.
Hypothesis: She is not looking at the largest stadiums available for her shows.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: She has not been leaning on the Met to find a more intimate venue for her projects.
Hypothesis: She is not looking at the largest stadiums available for her shows.
Answer:","[' contradiction',' entailment',' neutral']",2
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The words Sather Karf had been intoning did not come to a sudden stop, even before they could be drowned in the shouts of shock and panic from the others.
Hypothesis: Sather Karf's words ended abruptly before the others' shouts could overpower them.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The words Sather Karf had been intoning came to a sudden stop, even before they could be drowned in the shouts of shock and panic from the others.
Hypothesis: Sather Karf's words did not end abruptly before the others' shouts could overpower them.
Answer:","[' contradiction',' entailment',' neutral']",0
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: The words Sather Karf had been intoning did not come to a sudden stop, even before they could be drowned in the shouts of shock and panic from the others.
Hypothesis: Sather Karf's words did not end abruptly before the others' shouts could overpower them.
Answer:","[' contradiction',' entailment',' neutral']",1
"In this task, you're expected to infer the relationship between sentences pairs involving reasoning about negation. The relationships include ""contradiction"", ""entailment"", ""neutral"".
Premise: Influential blacks from around the country did not advise him to quit the race and leave the seat to the man many of them viewed as its rightful heir.
Hypothesis: Influential blacks attempted to stop someone from joining the presidential race to allowed their candidate the power.
Answer:","[' contradiction',' entailment',' neutral']",0
